,0
486189.txt,"['doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
117.txt,['doc 120.txt is 95.61525549070437 similar']
14692.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
486366.txt,"['doc 486334.txt is 97.43193316892594 similar', 'doc 486384.txt is 98.31825871515976 similar', 'doc 486409.txt is 97.99263268571467 similar']"
487079.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
14874.txt,"['doc 14855.txt is 98.50444812719395 similar', 'doc 14882.txt is 99.99999999999926 similar']"
487535.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
14690.txt,['doc 14688.txt is 98.6269200167648 similar']
487618.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
487032.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
488278.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
485614.txt,['doc 489698.txt is 100.00000000000031 similar']
486334.txt,"['doc 486366.txt is 97.43193316892594 similar', 'doc 486384.txt is 97.06995309177074 similar', 'doc 486409.txt is 97.01248870433056 similar']"
418.txt,['doc 445.txt is 99.9999999999998 similar']
13959.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
13938.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
487464.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
490291.txt,['doc 490292.txt is 99.9999999999998 similar']
445.txt,['doc 418.txt is 99.9999999999998 similar']
120.txt,['doc 117.txt is 95.61525549070437 similar']
14688.txt,['doc 14690.txt is 98.6269200167648 similar']
490292.txt,['doc 490291.txt is 99.9999999999998 similar']
686.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar']"
486384.txt,"['doc 486366.txt is 98.31825871515976 similar', 'doc 486334.txt is 97.06995309177074 similar', 'doc 486409.txt is 98.32030340456268 similar']"
486409.txt,"['doc 486366.txt is 97.99263268571467 similar', 'doc 486334.txt is 97.01248870433056 similar', 'doc 486384.txt is 98.32030340456268 similar']"
14855.txt,"['doc 14874.txt is 98.50444812719395 similar', 'doc 14882.txt is 98.50444812719395 similar']"
14882.txt,"['doc 14874.txt is 99.99999999999926 similar', 'doc 14855.txt is 98.50444812719395 similar']"
489698.txt,['doc 485614.txt is 100.00000000000031 similar']
